0002ba31fbd5ca08f01a3eaff57bd04a,mce4D,MCE-family protein Mce4D,Mce4 (CVF339),mycobacterium,sp.,JDM601
000322c916db9eff63c30a7a862bb1ab,mbtG,L-lysine 6-monooxygenase mbtG,Mycobactin (CVF315),mycobacterium,abscessus,subsp. bolletii str. GO 06
00074c0eeaa108a55a4b222625060fd7,mce1E,MCE-family lipoprotein LprK (MCE-family lipoprotein Mce1E),Mce1 (CVF336),mycobacterium,ulcerans,Agy99
000919d093d765d0bf7fb0ce98f0c2f8,SAUSA300_0301,hypothetical protein,Type VII secretion system (CVF624),staphylococcus,aureus,subsp. aureus USA300_FPR3757
00091fd2162738cdc4da072187ec79aa,mprB,hypothetical protein,MprA/B (CVF333),mycobacterium,avium,subsp. paratuberculosis K-10
000e0c1d47741fad104a93ace8cbcf3c,tarp,Translocated actin-recruiting protein,Type III secretion system effectors (CVF872),chlamydia,trachomatis,L2b/UCH-1/proctitis
0011f40ebe94dca6d71341b25f5ead6e,xpsK,general secretion pathway protein K,xps (SS213),xanthomonas,campestris,pv. campestris str. ATCC 33913
00173a3dd244e6aec748d9af83239026,virB10,type IV secretion system protein VirB10,Rvh T4SS (CVF797),anaplasma,centrale,str. Israel
001762c800f3ceeb21a3435b55574d20,cagQ,cag pathogenicity island protein Q,Cag PAI type IV secretion system (CVF217),helicobacter,pylori,G27
001976d13811974a75b463649720d99d,yst1J,putative general secretion pathway protein J precursor,yts1 (SS208),yersinia,enterocolitica,subsp. enterocolitica 8081
001db62eefd37f41ea158afefc7f2767,flgK,flagellar hook-associated protein FlgK,<beta>-GlcNAc (AI147),listeria,monocytogenes,EGD-e
001dc09b4faddffbb118db1532e62e87,rmlA,D-glucose-1-phosphate thymidylyltransferase,Capsular polysaccharide (CVF282),vibrio,vulnificus,YJ016
001ffd7831904a0ad0051761b9ced9b1,fliS,Flagellin-specific chaperone FliS,Flagella (CVF521),pseudomonas,entomophila,L48
0021d7a49ffaf43f448aa683ef31e35b,pilC,minor subunit PilC,PI-2a (VF0528),streptococcus,agalactiae,NEM316
00239601cbe391cee4a52def320e6302,fbpB,"ABC transporter, permease protein, iron related",ABC transporter (CVF197),neisseria,gonorrhoeae,NCCP11945
002eb6b644f239c9b49d1e63b4ce9aaa,srtB,sortase family protein,rlrA islet (CVF121),streptococcus,pneumoniae,Hungary19A-6
00324c3f6e82aa5e4f4737de97a92dc6,trpD,anthranilate phosphoribosyltransferase,Tryptophan synthesis (CVF308),mycobacterium,sp.,KMS
0032899986aabb2c1307b7867a2099a4,esxH,hypothetical protein,ESX-3 (T7SS) (CVF635),mycobacterium,avium,subsp. paratuberculosis K-10
0033e1f6cd2a95650405b133dec4712b,yopT,yop targeted effector yopT,TTSS effectors (CVF048),yersinia,pseudotuberculosis,IP 32953
003602620ae5765c2b91ea81dd49937e,clpV2,ClpA/B-type protease,HSI-2 (SS179),pseudomonas,aeruginosa,PAO1
00364c939561db5d894e9cce816275fb,orgC,hypothetical protein,TTSS (SPI-1 encode) (CVF031),salmonella,enterica,"subsp. arizonae serovar 62:z4,z23:-- str. RSK2980"
00378cc2ff98db304e03d24e776c8d32,hylP,putative phage hyaluronidase,Hyaluronidase (CVF154),streptococcus,pyogenes,str. Manfredo
00383f609d655f864ce509ec644de0b5,narE,hypothetical protein,Neisseria ADP-ribosylating enzyme (CVF205),neisseria,gonorrhoeae,NCCP11945
003a5c70a3e1354f3b78aeea21b9910a,virB7,hypothetical protein,Rvh T4SS (CVF797),anaplasma,marginale,str. St. Maries
003b841a24917a7dfe74857d1a891574,fliH,flagellar assembly protein H,Flagella (CVF643),burkholderia,mallei,ATCC 23344
003c61159ed819521a30536c9d78d923,faeD,K88 fimbrial usher protein FaeD,K88 fimbriae (CVF683),escherichia,coli,UMNK88
0040af3b2cd0ec77f7659d05096060ad,FTW_0049,hypothetical protein,T6SS (FPI) (CVF846),francisella,tularensis,subsp. tularensis WY96-3418
0043049cb4cd89ff9a3fa5844ed3a62b,set26,staphylococcal exotoxin 1,Exotoxin (CVF075),staphylococcus,aureus,RF122
00431f8bcd657d506d18a674a5969cab,pilQ,type IV pilus (Tfp) assembly protein PilQ,Type IV pili (CVF346),legionella,pneumophila,str. Lens
004377a42cf0bbddc46b480460928452,pilC,protein transport protein,Type IV pili (CVF486),haemophilus,somnus,129PT
00444a6c48560b6098595bc86039577d,KPN_02505,glycosyltransferase,Capsule (CVF854),klebsiella,pneumoniae,subsp. pneumoniae MGH 78578
0046f535f5716756c189c23a664d2529,safB,salmonella atypical fimbria chaperone,Saf (CVF013),salmonella,enterica,subsp. enterica serovar Gallinarum str. 287/91
0048ba5f32099ad05c7f98e4e41594b2,mbtB,MbtB protein,Mycobactin (CVF315),mycobacterium,intracellulare,MOTT-64
